ID,Date,Company,Title,Location,Link,Description,Level,Type,Function,Industry
urn:li:jobPosting:3280382851,2022-09-20,Oowlish,Data Engineer - Online Job,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-online-job-at-oowlish-3280382851?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=yjiuumrXKurCEICjFxfytw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3254129701,2022-09-09,Pieta.tech,Desenvolvedor Júnior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-j%C3%BAnior-at-pieta-tech-3254129701?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=roeHnFsB18nmxPxEcOIXjg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3275503397,2022-08-24,Datainfo Soluções em TI,Desenvolvedor Progress,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-progress-at-datainfo-3275503397?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=m4oErYiwLwp5pyo4aS5C1w%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3266600106,2022-09-12,DOJO - Smart Ways,Data Engineer (PL / SR),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-pl-sr-at-dojo-smart-ways-3266600106?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=kDrdDZInSuByucZaW4BVQg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3269535386,2022-09-14,BNE - Banco Nacional de Empregos,Desenvolvedor,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-at-bne-banco-nacional-de-empregos-3269535386?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=jNayCpqqy85U5LDLubLloA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3282184762,2022-08-28,scadaHUB Tecnologia,Desenvolvedor(a) SCADA,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-scada-at-scadahub-tecnologia-3282184762?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=2GOc%2FxCSwzmn%2BaZcZRPjiQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3268805820,2022-08-20,ESSS,Applications Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/applications-engineer-at-esss-3268805820?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=9DRG90Q8zmupUw8w%2BFoGXg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3284232808,2022-08-29,Lagoasoft,Estagiário,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/estagi%C3%A1rio-at-lagoasoft-3284232808?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=sL8JX2tImqMkBWHqewgm%2Fg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3288719022,2022-09-22,E3S,Applications Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/applications-engineer-at-e3s-3288719022?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=QF2epj79X22jdrRWvvzs%2Fw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3288702578,2022-09-22,SharePrime Tecnologia,Desenvolvedor Power Platform,"Águas Mornas, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-power-platform-at-shareprime-tecnologia-3288702578?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=y5BA31yJNcENeXlwmLOUvA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
