ID,Date,Company,Title,Location,Link
,2022-08-07,CONECTAA TECNOLOGIA DA INFORMAÇÃO,Desenvolvedor De Software - Full Stack,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-full-stack-at-conectaa-tecnologia-da-informa%C3%A7%C3%A3o-3246855301?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=MElWZs5%2F8%2BML8LMdnYMVIw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-09,Canonical,Software Engineer - MAAS,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-maas-at-canonical-3262421710?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=rjUAVW8iPFR%2B8%2Bw%2BG7Pu6g%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-16,Radartec,Desenvolvedores FrontEnd/Angular - Níveis Pleno e Sênior (2 vagas) - Florianópolis/SC,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedores-frontend-angular-n%C3%ADveis-pleno-e-s%C3%AAnior-2-vagas-florian%C3%B3polis-sc-at-radartec-3221867516?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=FVzYaVn%2BbFnNn6f%2BP%2BgNFA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-20,Edc Engenharia,Desenvolvedor de software X B,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-x-b-at-edc-engenharia-3279885858?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=N%2BlKopGiLmtYv7p5tQWP8g%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-07,Canonical,C++ Graphics and Windowing System Software Engineer - Mir,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/c%2B%2B-graphics-and-windowing-system-software-engineer-mir-at-canonical-3258472420?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=b%2F5NmXwqd0Pf4TPXx1WUQA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-14,Hexagon Agriculture,Desenvolvedor de Software Pleno - C++,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-pleno-c%2B%2B-at-hexagon-agriculture-3269945696?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=vQCVW8kMfcZbRUmeae76Ew%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-23,Canonical,Software Engineer - Ubuntu Gaming Experience,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-ubuntu-gaming-experience-at-canonical-3275412726?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=yyuInqFlgLj5yW6bG9as%2Fw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-23,ESSS,Desenvolvedor C++ (OpenGl),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-c%2B%2B-opengl-at-esss-3234763683?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=KFKzI%2BEjEhfLTL4%2BIx0l%2Bg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-08,Fundação CERTI,Pessoa Desenvolvedora de Software Full Stack (Pleno/Sênior),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-desenvolvedora-de-software-full-stack-pleno-s%C3%AAnior-at-funda%C3%A7%C3%A3o-certi-3251948080?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=kvLzKQlSidG9QsgBqM%2FkFA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-07,Agriness,Desenvolvedor(a) Front-End Sênior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-s%C3%AAnior-at-agriness-3248248672?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=Zewex5ehoy60JsfiYSs1cA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-08,RD Station,Pessoa Engenheira de Software Pleno - Full Stack (React & Ruby on Rails),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-engenheira-de-software-pleno-full-stack-react-ruby-on-rails-at-rd-station-3260529855?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=%2BaHmQQqKd2O%2BM7HQJ%2Bdgkw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-23,Supero - Melhores Times. Melhores Soluções.,Desenvolvedor(a) Front-end - Sênior | Angular,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-s%C3%AAnior-angular-at-supero-melhores-times-melhores-solu%C3%A7%C3%B5es-3235367913?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=egD83h8CJtm4TTrrNKCQ7A%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-19,Oowlish,React Software Programmer - Work From Home,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/react-software-programmer-work-from-home-at-oowlish-3275697609?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=dSevW284gZlt03GjTkhDgQ%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-14,Oowlish,React software developer- Remote job,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/react-software-developer-remote-job-at-oowlish-3270431462?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=TS5h3CBodhB9vukEjA7Jcw%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-18,Aurum Software,Desenvolvedor(a) FrontEnd Sênior | Remoto,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-frontend-s%C3%AAnior-remoto-at-aurum-software-3266838044?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=0TSiURGqyn2rm7FoKEYqnQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-20,Caderno Nacional,Programador Java,"São José, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/programador-java-at-caderno-nacional-3279594545?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=S5INC3j1uwmyUB4bERxnpA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-02,ILHA SERVICE TECNOLOGIA LTDA.,DESENVOLVEDOR JAVA SENIOR,"São José, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-java-senior-at-ilha-service-tecnologia-e-servi%C3%A7os-3241801301?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=rREklMdVzP%2BYZr6hR7HKqw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-08,Tudaki,Programador - Objective C & Swift,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/programador-objective-c-swift-at-tudaki-3246851931?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=X0dlBXZewbQJRLctlogn7g%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-08-25,Canonical,Senior Software Engineer - Go,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/senior-software-engineer-go-at-canonical-3277207222?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=dyXEGmr19fFpoQAsBtX0bw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
,2022-09-19,Ilha Service Informática,DESENVOLVEDOR JAVA SENIOR,"São José, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-java-senior-at-ilha-service-inform%C3%A1tica-3277339344?refId=2O2f7kFAF8jZbCWmtOFRoA%3D%3D&trackingId=Q4tDWC%2BvjCEcEx%2BMY1f7IQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
